IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.44.93,443,true,SJC,North America,San Jose,190 ms,2.83 MB/s
103.184.44.81,443,true,SJC,North America,San Jose,189 ms,2.83 MB/s
103.184.45.79,443,true,SJC,North America,San Jose,191 ms,2.82 MB/s
103.184.45.125,443,true,SJC,North America,San Jose,186 ms,2.82 MB/s
103.184.44.22,443,true,SJC,North America,San Jose,191 ms,2.73 MB/s
103.184.45.164,443,true,SJC,North America,San Jose,191 ms,2.72 MB/s
103.184.45.147,443,true,SJC,North America,San Jose,237 ms,2.70 MB/s
103.184.44.7,443,true,SJC,North America,San Jose,191 ms,2.69 MB/s
103.184.45.248,443,true,SJC,North America,San Jose,189 ms,2.68 MB/s
103.184.45.154,443,true,SJC,North America,San Jose,188 ms,2.67 MB/s
103.184.44.76,443,true,SJC,North America,San Jose,185 ms,2.63 MB/s
103.184.44.208,443,true,SJC,North America,San Jose,191 ms,2.58 MB/s
103.184.45.4,443,true,SJC,North America,San Jose,190 ms,2.56 MB/s
103.184.45.193,443,true,SJC,North America,San Jose,189 ms,2.53 MB/s
103.184.44.151,443,true,SJC,North America,San Jose,198 ms,2.43 MB/s
103.184.44.246,443,true,SJC,North America,San Jose,186 ms,2.35 MB/s
103.184.44.97,443,true,SJC,North America,San Jose,189 ms,2.31 MB/s
103.184.45.253,443,true,SJC,North America,San Jose,197 ms,2.28 MB/s
103.184.44.190,443,true,SJC,North America,San Jose,189 ms,2.27 MB/s
103.184.45.56,443,true,SJC,North America,San Jose,195 ms,2.18 MB/s
103.184.45.19,443,true,SJC,North America,San Jose,182 ms,2.15 MB/s
103.184.44.125,443,true,SJC,North America,San Jose,227 ms,1.87 MB/s
103.184.45.26,443,true,SJC,North America,San Jose,186 ms,1.87 MB/s
103.184.45.203,443,true,SJC,North America,San Jose,181 ms,1.77 MB/s
103.184.44.98,443,true,SJC,North America,San Jose,237 ms,1.62 MB/s
103.184.45.87,443,true,SJC,North America,San Jose,190 ms,1.53 MB/s
103.184.45.51,443,true,SJC,North America,San Jose,187 ms,1.46 MB/s
103.184.44.8,443,true,SJC,North America,San Jose,192 ms,1.44 MB/s
